Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Location,Device_Used,Time_of_Transaction,Fraudulent
43,4753,3782.5,Online Purchase,Los Angeles,Tablet,2024-01-01 00:42:00,0
44,3047,2371.32,Bank Transfer,San Francisco,Mobile,2024-01-01 00:43:00,0
45,4547,1129.72,POS Payment,New York,Tablet,2024-01-01 00:44:00,0
46,3747,3083.49,Bank Transfer,Chicago,Tablet,2024-01-01 00:45:00,0
47,1975,202.63,ATM Withdrawal,San Francisco,Tablet,2024-01-01 00:46:00,0
48,2806,1631.53,ATM Withdrawal,Chicago,Mobile,2024-01-01 00:47:00,0
49,1189,2343.32,Bank Transfer,Chicago,Mobile,2024-01-01 00:48:00,0
50,4005,740.64,ATM Withdrawal,San Francisco,Desktop,2024-01-01 00:49:00,0
51,3734,4923.29,ATM Withdrawal,Houston,Mobile,2024-01-01 00:50:00,0
52,4005,1046.28,Online Purchase,Chicago,Mobile,2024-01-01 00:51:00,0
53,1562,652.64,POS Payment,Houston,Mobile,2024-01-01 00:52:00,0
54,2899,1018.47,Bank Transfer,Chicago,Mobile,2024-01-01 00:53:00,0
55,4638,3845.54,Online Purchase,San Francisco,Desktop,2024-01-01 00:54:00,0
56,2267,2128.1,ATM Withdrawal,Chicago,Desktop,2024-01-01 00:55:00,0
57,3879,2827.51,Online Purchase,Los Angeles,Mobile,2024-01-01 00:56:00,0
58,2528,106.02,POS Payment,Los Angeles,Tablet,2024-01-01 00:57:00,0
59,4202,173.12,Bank Transfer,Chicago,Tablet,2024-01-01 00:58:00,0
60,4556,2229.68,POS Payment,San Francisco,Mobile,2024-01-01 00:59:00,0
61,4890,4083.46,POS Payment,San Francisco,Desktop,2024-01-01 01:00:00,0
62,1646,4426.31,Online Purchase,New York,Tablet,2024-01-01 01:01:00,0
63,3068,434.45,Online Purchase,San Francisco,Desktop,2024-01-01 01:02:00,0
64,3888,2692.28,POS Payment,Houston,Desktop,2024-01-01 01:03:00,0
65,3214,4566.24,ATM Withdrawal,Chicago,Tablet,2024-01-01 01:04:00,0
66,2297,1940.48,Bank Transfer,Los Angeles,Mobile,2024-01-01 01:05:00,0
67,3435,4148.0,ATM Withdrawal,San Francisco,Desktop,2024-01-01 01:06:00,0
68,1600,669.34,ATM Withdrawal,Los Angeles,Tablet,2024-01-01 01:07:00,0
69,3363,4677.04,Bank Transfer,New York,Desktop,2024-01-01 01:08:00,0
70,3061,3757.37,Online Purchase,Chicago,Tablet,2024-01-01 01:09:00,0
71,1241,4706.73,ATM Withdrawal,San Francisco,Mobile,2024-01-01 01:10:00,0
72,3041,3383.41,Online Purchase,Los Angeles,Mobile,2024-01-01 01:11:00,0
73,3824,1817.66,Bank Transfer,San Francisco,Mobile,2024-01-01 01:12:00,0
74,4417,4690.97,ATM Withdrawal,New York,Desktop,2024-01-01 01:13:00,0
75,3612,1378.56,Online Purchase,Los Angeles,Mobile,2024-01-01 01:14:00,0
76,3945,1661.53,Online Purchase,Los Angeles,Mobile,2024-01-01 01:15:00,0
77,2363,3504.34,ATM Withdrawal,Chicago,Mobile,2024-01-01 01:16:00,0
78,3139,3826.82,Bank Transfer,Chicago,Mobile,2024-01-01 01:17:00,0
79,2390,4647.09,POS Payment,Los Angeles,Tablet,2024-01-01 01:18:00,0
80,4003,1024.81,Online Purchase,Chicago,Tablet,2024-01-01 01:19:00,0
81,2478,3990.19,Bank Transfer,Los Angeles,Desktop,2024-01-01 01:20:00,0
82,4499,3692.99,ATM Withdrawal,Houston,Tablet,2024-01-01 01:21:00,0
83,3556,319.91,Online Purchase,San Francisco,Tablet,2024-01-01 01:22:00,0
84,1775,1936.73,Online Purchase,Houston,Tablet,2024-01-01 01:23:00,0
85,1034,1414.54,Online Purchase,Houston,Tablet,2024-01-01 01:24:00,0
86,3253,1523.15,Bank Transfer,San Francisco,Tablet,2024-01-01 01:25:00,0
87,4152,4914.75,Online Purchase,Los Angeles,Mobile,2024-01-01 01:26:00,0
88,2955,3214.24,Online Purchase,Los Angeles,Desktop,2024-01-01 01:27:00,0
89,2585,3588.66,ATM Withdrawal,Chicago,Tablet,2024-01-01 01:28:00,0
90,4943,4883.11,Online Purchase,New York,Tablet,2024-01-01 01:29:00,0
91,4459,1886.63,Bank Transfer,Los Angeles,Desktop,2024-01-01 01:30:00,0
92,4073,4009.4,ATM Withdrawal,San Francisco,Tablet,2024-01-01 01:31:00,0
93,2021,2173.22,POS Payment,New York,Tablet,2024-01-01 01:32:00,0
94,4461,4347.8,ATM Withdrawal,San Francisco,Desktop,2024-01-01 01:33:00,0
95,3613,904.11,Online Purchase,San Francisco,Mobile,2024-01-01 01:34:00,0
96,2129,4738.48,POS Payment,San Francisco,Mobile,2024-01-01 01:35:00,0
97,4843,1094.64,ATM Withdrawal,New York,Desktop,2024-01-01 01:36:00,0
98,4893,1631.78,Online Purchase,Houston,Mobile,2024-01-01 01:37:00,0
99,2500,3781.2,ATM Withdrawal,San Francisco,Mobile,2024-01-01 01:38:00,0
100,1702,1969.38,Bank Transfer,Chicago,Mobile,2024-01-01 01:39:00,0
101,3449,3041.45,Online Purchase,Los Angeles,Mobile,2024-01-01 01:40:00,0
102,3777,2223.42,Bank Transfer,Los Angeles,Tablet,2024-01-01 01:41:00,0
103,2579,3712.11,Online Purchase,Los Angeles,Desktop,2024-01-01 01:42:00,0
104,1161,1142.43,Bank Transfer,New York,Mobile,2024-01-01 01:43:00,0
105,1201,293.23,POS Payment,Chicago,Mobile,2024-01-01 01:44:00,0
106,2981,1500.35,Bank Transfer,Chicago,Desktop,2024-01-01 01:45:00,0
107,1995,2372.07,ATM Withdrawal,Chicago,Tablet,2024-01-01 01:46:00,1
108,3317,840.93,Online Purchase,Chicago,Mobile,2024-01-01 01:47:00,0
109,4934,1774.63,ATM Withdrawal,Chicago,Mobile,2024-01-01 01:48:00,0
110,1815,2000.52,Bank Transfer,Houston,Tablet,2024-01-01 01:49:00,0
111,4342,287.9,Online Purchase,Chicago,Desktop,2024-01-01 01:50:00,0
112,1455,2916.95,Bank Transfer,Chicago,Mobile,2024-01-01 01:51:00,0
113,4533,4421.83,POS Payment,New York,Mobile,2024-01-01 01:52:00,0
114,4798,759.56,POS Payment,New York,Desktop,2024-01-01 01:53:00,0
115,2275,2989.44,POS Payment,Chicago,Tablet,2024-01-01 01:54:00,0
116,2016,3324.03,Bank Transfer,Houston,Desktop,2024-01-01 01:55:00,0
117,4773,2097.25,Bank Transfer,Chicago,Mobile,2024-01-01 01:56:00,0
118,3343,3505.79,POS Payment,Chicago,Tablet,2024-01-01 01:57:00,0
119,4796,2054.25,Bank Transfer,Chicago,Tablet,2024-01-01 01:58:00,0
120,3767,2523.68,ATM Withdrawal,San Francisco,Tablet,2024-01-01 01:59:00,0
121,4820,37.76,Bank Transfer,Houston,Desktop,2024-01-01 02:00:00,0
122,1337,3458.91,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 02:01:00,0
123,1878,3307.05,POS Payment,Chicago,Desktop,2024-01-01 02:02:00,0
124,2076,192.97,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:03:00,0
125,1791,1841.88,POS Payment,Houston,Desktop,2024-01-01 02:04:00,0
126,4993,4895.18,Online Purchase,Chicago,Tablet,2024-01-01 02:05:00,0
127,3264,2104.26,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:06:00,0
128,1763,2510.23,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:07:00,0
129,3235,4549.74,POS Payment,Houston,Mobile,2024-01-01 02:08:00,0
130,1379,3586.59,POS Payment,Chicago,Tablet,2024-01-01 02:09:00,0
131,1492,2910.77,POS Payment,San Francisco,Desktop,2024-01-01 02:10:00,0
132,4112,3989.23,Online Purchase,Houston,Tablet,2024-01-01 02:11:00,0
133,2180,4321.97,Online Purchase,San Francisco,Desktop,2024-01-01 02:12:00,0
134,3062,2284.98,POS Payment,Chicago,Mobile,2024-01-01 02:13:00,0
135,4884,2376.07,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:14:00,0
136,1064,1930.87,Bank Transfer,Houston,Tablet,2024-01-01 02:15:00,0
137,4928,4833.56,POS Payment,Houston,Desktop,2024-01-01 02:16:00,0
138,4910,3486.13,ATM Withdrawal,Houston,Mobile,2024-01-01 02:17:00,0
139,3568,417.03,Online Purchase,New York,Tablet,2024-01-01 02:18:00,0
140,2367,4314.94,Online Purchase,Chicago,Tablet,2024-01-01 02:19:00,0
141,2152,2403.32,ATM Withdrawal,New York,Desktop,2024-01-01 02:20:00,0
142,3027,344.7,POS Payment,Houston,Desktop,2024-01-01 02:21:00,0
143,3695,2749.04,Bank Transfer,Houston,Desktop,2024-01-01 02:22:00,0
144,2495,2086.4,Bank Transfer,San Francisco,Mobile,2024-01-01 02:23:00,0
145,4134,4388.87,Online Purchase,New York,Tablet,2024-01-01 02:24:00,0
146,2162,1020.77,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 02:25:00,0
147,2522,4132.5,Bank Transfer,Chicago,Tablet,2024-01-01 02:26:00,0
148,3640,2788.89,Online Purchase,Los Angeles,Mobile,2024-01-01 02:27:00,0
149,1391,274.0,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:28:00,0
150,2698,4859.25,Bank Transfer,Chicago,Desktop,2024-01-01 02:29:00,0
151,1418,2563.56,Bank Transfer,Houston,Mobile,2024-01-01 02:30:00,0
152,3336,1455.09,Online Purchase,San Francisco,Tablet,2024-01-01 02:31:00,0
153,1378,2347.56,ATM Withdrawal,Houston,Tablet,2024-01-01 02:32:00,0
154,2796,4289.43,POS Payment,Houston,Mobile,2024-01-01 02:33:00,0
155,4561,1525.21,ATM Withdrawal,New York,Mobile,2024-01-01 02:34:00,0
156,3278,964.19,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:35:00,0
157,4065,646.23,ATM Withdrawal,Los Angeles,Tablet,2024-01-01 02:36:00,0
158,3088,1490.0,Bank Transfer,Los Angeles,Mobile,2024-01-01 02:37:00,0
159,4099,3900.46,Online Purchase,San Francisco,Desktop,2024-01-01 02:38:00,0
160,3182,2358.66,Online Purchase,San Francisco,Desktop,2024-01-01 02:39:00,0
161,1200,1138.18,Online Purchase,San Francisco,Tablet,2024-01-01 02:40:00,1
162,2863,831.76,Bank Transfer,Chicago,Mobile,2024-01-01 02:41:00,0
163,1779,1664.31,ATM Withdrawal,San Francisco,Mobile,2024-01-01 02:42:00,0
164,3977,4699.68,POS Payment,New York,Mobile,2024-01-01 02:43:00,0
165,4104,1715.79,POS Payment,New York,Desktop,2024-01-01 02:44:00,0
166,4119,4940.63,Online Purchase,Houston,Desktop,2024-01-01 02:45:00,0
167,1502,2426.67,POS Payment,Houston,Desktop,2024-01-01 02:46:00,0
168,3454,896.64,Bank Transfer,Houston,Desktop,2024-01-01 02:47:00,0
169,4645,4455.81,ATM Withdrawal,Houston,Desktop,2024-01-01 02:48:00,0
170,2751,2302.32,POS Payment,New York,Tablet,2024-01-01 02:49:00,0
171,1804,3548.65,POS Payment,Houston,Tablet,2024-01-01 02:50:00,0
172,3146,4918.57,ATM Withdrawal,New York,Mobile,2024-01-01 02:51:00,0
173,3731,251.83,POS Payment,San Francisco,Mobile,2024-01-01 02:52:00,0
174,2895,484.38,ATM Withdrawal,San Francisco,Desktop,2024-01-01 02:53:00,0
175,3773,3602.56,Bank Transfer,Chicago,Mobile,2024-01-01 02:54:00,0
176,2570,1409.84,Bank Transfer,Houston,Tablet,2024-01-01 02:55:00,0
177,1960,922.32,Bank Transfer,San Francisco,Tablet,2024-01-01 02:56:00,0
178,4810,197.77,Online Purchase,San Francisco,Mobile,2024-01-01 02:57:00,0
179,3660,110.21,Bank Transfer,Los Angeles,Desktop,2024-01-01 02:58:00,0
180,2485,3872.65,POS Payment,Los Angeles,Tablet,2024-01-01 02:59:00,0
181,3690,673.03,Online Purchase,New York,Mobile,2024-01-01 03:00:00,0
182,4840,2339.14,Online Purchase,Chicago,Desktop,2024-01-01 03:01:00,0
183,2028,3029.88,Online Purchase,Los Angeles,Mobile,2024-01-01 03:02:00,0
184,4289,2142.33,Bank Transfer,Chicago,Desktop,2024-01-01 03:03:00,0
185,1502,136.51,Online Purchase,San Francisco,Desktop,2024-01-01 03:04:00,0
186,3814,3917.72,Bank Transfer,New York,Tablet,2024-01-01 03:05:00,0
187,1397,53.56,Bank Transfer,Chicago,Tablet,2024-01-01 03:06:00,0
188,1870,3809.69,Online Purchase,Los Angeles,Mobile,2024-01-01 03:07:00,1
189,3842,4466.63,Online Purchase,San Francisco,Mobile,2024-01-01 03:08:00,0
190,1392,2164.77,POS Payment,Houston,Desktop,2024-01-01 03:09:00,0
191,1206,2678.18,Online Purchase,San Francisco,Tablet,2024-01-01 03:10:00,0
192,2038,2385.44,Bank Transfer,Los Angeles,Desktop,2024-01-01 03:11:00,0
193,2881,1946.65,POS Payment,Los Angeles,Desktop,2024-01-01 03:12:00,0
194,4625,4437.24,POS Payment,Houston,Desktop,2024-01-01 03:13:00,0
195,3939,4469.77,Bank Transfer,San Francisco,Desktop,2024-01-01 03:14:00,0
196,2484,1679.75,Online Purchase,Chicago,Desktop,2024-01-01 03:15:00,0
197,4762,3075.73,Online Purchase,Chicago,Desktop,2024-01-01 03:16:00,0
198,4646,4634.61,ATM Withdrawal,San Francisco,Mobile,2024-01-01 03:17:00,0
199,1863,4810.33,Online Purchase,Chicago,Tablet,2024-01-01 03:18:00,0
200,3790,2545.29,ATM Withdrawal,San Francisco,Tablet,2024-01-01 03:19:00,0
201,4312,2264.67,POS Payment,San Francisco,Desktop,2024-01-01 03:20:00,0
202,1563,1394.19,POS Payment,Los Angeles,Desktop,2024-01-01 03:21:00,0
203,2020,4794.4,POS Payment,New York,Desktop,2024-01-01 03:22:00,0
204,1095,714.93,ATM Withdrawal,Los Angeles,Tablet,2024-01-01 03:23:00,0
205,2923,2899.57,Bank Transfer,Chicago,Tablet,2024-01-01 03:24:00,0
206,2757,1413.47,Bank Transfer,New York,Desktop,2024-01-01 03:25:00,0
207,3532,1395.76,POS Payment,San Francisco,Tablet,2024-01-01 03:26:00,0
208,4478,2025.44,ATM Withdrawal,Chicago,Desktop,2024-01-01 03:27:00,0
209,3278,4993.97,ATM Withdrawal,Houston,Desktop,2024-01-01 03:28:00,1
210,3796,275.78,POS Payment,Chicago,Desktop,2024-01-01 03:29:00,0
211,2678,2893.13,Online Purchase,New York,Mobile,2024-01-01 03:30:00,0
212,4242,413.78,POS Payment,New York,Tablet,2024-01-01 03:31:00,0
213,1540,773.45,ATM Withdrawal,San Francisco,Tablet,2024-01-01 03:32:00,0
214,2059,2198.38,Online Purchase,Houston,Tablet,2024-01-01 03:33:00,0
215,3572,2552.79,Bank Transfer,San Francisco,Desktop,2024-01-01 03:34:00,0
216,2183,1294.7,Online Purchase,Houston,Mobile,2024-01-01 03:35:00,0
217,4910,1582.97,Bank Transfer,Houston,Desktop,2024-01-01 03:36:00,0
218,2722,435.75,ATM Withdrawal,San Francisco,Desktop,2024-01-01 03:37:00,0
219,4314,1516.8,POS Payment,Chicago,Desktop,2024-01-01 03:38:00,0
220,4157,4832.83,POS Payment,Los Angeles,Mobile,2024-01-01 03:39:00,0
221,2819,4723.59,POS Payment,Houston,Desktop,2024-01-01 03:40:00,0
222,3625,1675.06,POS Payment,New York,Desktop,2024-01-01 03:41:00,0
223,3729,2854.7,POS Payment,San Francisco,Mobile,2024-01-01 03:42:00,0
224,3604,4548.07,ATM Withdrawal,Chicago,Desktop,2024-01-01 03:43:00,0
225,2597,31.91,ATM Withdrawal,Houston,Desktop,2024-01-01 03:44:00,0
226,4060,4053.61,POS Payment,Chicago,Tablet,2024-01-01 03:45:00,0
227,3693,4741.9,Online Purchase,San Francisco,Mobile,2024-01-01 03:46:00,1
228,1795,457.54,POS Payment,New York,Tablet,2024-01-01 03:47:00,0
229,2051,808.08,Bank Transfer,Houston,Desktop,2024-01-01 03:48:00,0
230,2643,4803.77,Bank Transfer,Houston,Mobile,2024-01-01 03:49:00,0
231,4627,2688.16,Bank Transfer,Chicago,Mobile,2024-01-01 03:50:00,0
232,2363,71.97,Bank Transfer,San Francisco,Desktop,2024-01-01 03:51:00,0
233,4869,1288.9,POS Payment,Los Angeles,Tablet,2024-01-01 03:52:00,0
234,2981,2250.27,Bank Transfer,Houston,Desktop,2024-01-01 03:53:00,0
235,2354,3464.85,Online Purchase,New York,Mobile,2024-01-01 03:54:00,0
236,2663,3666.07,POS Payment,Houston,Mobile,2024-01-01 03:55:00,0
237,2529,4977.11,Bank Transfer,Houston,Desktop,2024-01-01 03:56:00,0
238,3038,1438.27,POS Payment,Los Angeles,Desktop,2024-01-01 03:57:00,0
239,4419,2691.56,POS Payment,Los Angeles,Desktop,2024-01-01 03:58:00,0
240,2496,2667.08,POS Payment,San Francisco,Desktop,2024-01-01 03:59:00,0
241,4302,2028.82,ATM Withdrawal,Houston,Tablet,2024-01-01 04:00:00,0
242,3237,846.64,Bank Transfer,Houston,Tablet,2024-01-01 04:01:00,0
243,4296,4887.31,ATM Withdrawal,Chicago,Tablet,2024-01-01 04:02:00,0
244,2408,4266.73,Online Purchase,Chicago,Tablet,2024-01-01 04:03:00,0
245,2400,2492.17,Online Purchase,New York,Mobile,2024-01-01 04:04:00,0
246,2306,3016.62,ATM Withdrawal,New York,Mobile,2024-01-01 04:05:00,0
247,3680,1137.08,Bank Transfer,Chicago,Tablet,2024-01-01 04:06:00,1
248,3675,2719.39,POS Payment,New York,Desktop,2024-01-01 04:07:00,0
249,1972,3475.16,Online Purchase,Houston,Mobile,2024-01-01 04:08:00,0
250,2768,2576.32,Online Purchase,Los Angeles,Desktop,2024-01-01 04:09:00,0
251,2282,4951.44,Online Purchase,Houston,Tablet,2024-01-01 04:10:00,0
252,4430,3057.1,Bank Transfer,Chicago,Mobile,2024-01-01 04:11:00,0
253,1709,1855.5,ATM Withdrawal,San Francisco,Mobile,2024-01-01 04:12:00,0
254,2479,3860.99,ATM Withdrawal,San Francisco,Mobile,2024-01-01 04:13:00,0
255,2434,853.14,Bank Transfer,Chicago,Mobile,2024-01-01 04:14:00,0
256,1648,1923.19,Online Purchase,Houston,Tablet,2024-01-01 04:15:00,0
257,1317,1735.45,Bank Transfer,New York,Mobile,2024-01-01 04:16:00,0
258,4748,2159.6,Bank Transfer,New York,Tablet,2024-01-01 04:17:00,0
259,4296,3909.12,ATM Withdrawal,San Francisco,Mobile,2024-01-01 04:18:00,0
260,4890,2421.38,Bank Transfer,Chicago,Tablet,2024-01-01 04:19:00,0
261,2257,3970.28,Bank Transfer,Chicago,Tablet,2024-01-01 04:20:00,0
262,1683,2882.87,Online Purchase,Los Angeles,Desktop,2024-01-01 04:21:00,0
263,1663,1711.01,POS Payment,San Francisco,Tablet,2024-01-01 04:22:00,0
264,2998,4050.08,Online Purchase,Chicago,Desktop,2024-01-01 04:23:00,0
265,4898,1192.21,ATM Withdrawal,Los Angeles,Mobile,2024-01-01 04:24:00,0
266,4445,1122.69,POS Payment,New York,Desktop,2024-01-01 04:25:00,0
267,4743,2523.01,Online Purchase,San Francisco,Tablet,2024-01-01 04:26:00,0
268,2631,1304.99,Bank Transfer,San Francisco,Desktop,2024-01-01 04:27:00,0
269,2495,46.43,Bank Transfer,Chicago,Mobile,2024-01-01 04:28:00,0
270,4304,3241.84,POS Payment,Chicago,Desktop,2024-01-01 04:29:00,0
271,4763,2555.96,POS Payment,Houston,Tablet,2024-01-01 04:30:00,0
272,2136,2228.14,Bank Transfer,New York,Tablet,2024-01-01 04:31:00,0
273,2853,4834.88,ATM Withdrawal,New York,Mobile,2024-01-01 04:32:00,0
274,2520,2856.42,Online Purchase,Los Angeles,Mobile,2024-01-01 04:33:00,0
275,3489,4317.29,Bank Transfer,Los Angeles,Desktop,2024-01-01 04:34:00,0
276,1563,698.11,Online Purchase,Houston,Mobile,2024-01-01 04:35:00,0
277,2291,2846.46,Online Purchase,New York,Tablet,2024-01-01 04:36:00,0
278,4581,4340.03,Online Purchase,Los Angeles,Desktop,2024-01-01 04:37:00,0
279,4878,2915.95,Online Purchase,New York,Desktop,2024-01-01 04:38:00,0
280,4457,3590.35,ATM Withdrawal,New York,Desktop,2024-01-01 04:39:00,0
281,4458,1860.85,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 04:40:00,0
282,4184,463.16,ATM Withdrawal,Chicago,Mobile,2024-01-01 04:41:00,0
283,2636,2290.04,Bank Transfer,Chicago,Desktop,2024-01-01 04:42:00,0
284,4696,1973.0,Bank Transfer,Los Angeles,Desktop,2024-01-01 04:43:00,1
285,3999,4335.43,Bank Transfer,Houston,Desktop,2024-01-01 04:44:00,0
286,4152,1220.73,ATM Withdrawal,San Francisco,Tablet,2024-01-01 04:45:00,0
287,1698,4833.7,Online Purchase,New York,Tablet,2024-01-01 04:46:00,0
288,3160,4790.73,ATM Withdrawal,San Francisco,Mobile,2024-01-01 04:47:00,0
289,1001,1238.91,Bank Transfer,Los Angeles,Tablet,2024-01-01 04:48:00,0
290,1641,1740.91,POS Payment,New York,Tablet,2024-01-01 04:49:00,0
291,3267,4477.88,Bank Transfer,San Francisco,Mobile,2024-01-01 04:50:00,0
292,2589,4833.14,Online Purchase,Chicago,Mobile,2024-01-01 04:51:00,0
293,1854,2217.75,ATM Withdrawal,Houston,Desktop,2024-01-01 04:52:00,0
294,2759,1605.66,POS Payment,San Francisco,Desktop,2024-01-01 04:53:00,0
295,4296,2630.94,POS Payment,Houston,Mobile,2024-01-01 04:54:00,0
296,3432,3439.16,Online Purchase,Chicago,Desktop,2024-01-01 04:55:00,0
297,4474,1368.1,ATM Withdrawal,San Francisco,Desktop,2024-01-01 04:56:00,0
298,2661,3682.63,POS Payment,Los Angeles,Desktop,2024-01-01 04:57:00,0
299,2153,259.24,Bank Transfer,New York,Mobile,2024-01-01 04:58:00,0
300,2076,247.42,Online Purchase,Chicago,Tablet,2024-01-01 04:59:00,0
301,2707,1932.05,POS Payment,Houston,Tablet,2024-01-01 05:00:00,0
302,3777,1768.01,Online Purchase,Houston,Mobile,2024-01-01 05:01:00,0
303,2695,1578.85,ATM Withdrawal,Chicago,Mobile,2024-01-01 05:02:00,0
304,2733,2455.61,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 05:03:00,0
305,2439,1604.35,ATM Withdrawal,Los Angeles,Mobile,2024-01-01 05:04:00,0
306,3294,962.1,Bank Transfer,Houston,Mobile,2024-01-01 05:05:00,0
307,1835,1548.04,POS Payment,Chicago,Mobile,2024-01-01 05:06:00,0
308,4510,4874.55,ATM Withdrawal,Chicago,Mobile,2024-01-01 05:07:00,0
309,1202,2056.16,Bank Transfer,New York,Desktop,2024-01-01 05:08:00,0
310,4255,2224.12,ATM Withdrawal,Houston,Desktop,2024-01-01 05:09:00,0
311,1122,2883.15,ATM Withdrawal,Los Angeles,Mobile,2024-01-01 05:10:00,0
312,1400,4916.72,POS Payment,San Francisco,Mobile,2024-01-01 05:11:00,0
313,1766,1208.76,Bank Transfer,Los Angeles,Tablet,2024-01-01 05:12:00,0
314,1293,3406.73,ATM Withdrawal,Los Angeles,Tablet,2024-01-01 05:13:00,0
315,3327,3580.21,Bank Transfer,San Francisco,Mobile,2024-01-01 05:14:00,0
316,4908,3037.01,Bank Transfer,Houston,Tablet,2024-01-01 05:15:00,0
317,3931,443.8,ATM Withdrawal,New York,Tablet,2024-01-01 05:16:00,1
318,4681,3384.68,ATM Withdrawal,Los Angeles,Desktop,2024-01-01 05:17:00,0
319,1197,321.41,Online Purchase,Los Angeles,Desktop,2024-01-01 05:18:00,0
320,4029,2981.12,POS Payment,Houston,Desktop,2024-01-01 05:19:00,0
321,2930,3698.17,ATM Withdrawal,Houston,Tablet,2024-01-01 05:20:00,0
322,4582,1055.64,Online Purchase,Chicago,Mobile,2024-01-01 05:21:00,0
323,3799,4208.27,POS Payment,Houston,Desktop,2024-01-01 05:22:00,0
324,3191,152.74,ATM Withdrawal,Houston,Tablet,2024-01-01 05:23:00,0
325,1608,4219.22,Bank Transfer,Los Angeles,Mobile,2024-01-01 05:24:00,0
